% DFile A-1: Dry air properties at 1 atm, 175-1900 K (Air.dat)  
%  T(K)         k(W/m/K)     den(kg/m^3)  Cp(J/kg/K)   Cv(J/kg/K)   mu(kg/m/s)   expan(1/K)
   1.7500E+02   1.5930E-02   2.0170E+00   1.0023E+03   7.1520E+02   1.1820E-05   5.7143E-03
   2.0000E+02   1.8090E-02   1.7650E+00   1.0025E+03   7.1540E+02   1.3290E-05   5.0000E-03
   2.2500E+02   2.0200E-02   1.5690E+00   1.0027E+03   7.1560E+02   1.4670E-05   4.4444E-03
   2.5000E+02   2.2270E-02   1.4120E+00   1.0031E+03   7.1600E+02   1.5990E-05   4.0000E-03
   2.7500E+02   2.4280E-02   1.2840E+00   1.0038E+03   7.1670E+02   1.7250E-05   3.6364E-03
   3.0000E+02   2.6240E-02   1.1770E+00   1.0049E+03   7.1780E+02   1.8460E-05   3.3333E-03
   3.2500E+02   2.8160E-02   1.0860E+00   1.0063E+03   7.1920E+02   1.9620E-05   3.0769E-03
   3.5000E+02   3.0030E-02   1.0090E+00   1.0082E+03   7.2110E+02   2.0750E-05   2.8571E-03
   3.7500E+02   3.1860E-02   9.4130E-01   1.0106E+03   7.2350E+02   2.1810E-05   2.6667E-03
   4.0000E+02   3.3650E-02   8.8240E-01   1.0135E+03   7.2640E+02   2.2860E-05   2.5000E-03
   4.5000E+02   3.7100E-02   7.8440E-01   1.0206E+03   7.3350E+02   2.4850E-05   2.2222E-03
   5.0000E+02   4.0410E-02   7.0600E-01   1.0295E+03   7.4240E+02   2.6700E-05   2.0000E-03
   5.5000E+02   4.3570E-02   6.4180E-01   1.0398E+03   7.5270E+02   2.8490E-05   1.8182E-03
   6.0000E+02   4.6610E-02   5.8830E-01   1.0511E+03   7.6400E+02   3.0170E-05   1.6667E-03
   6.5000E+02   4.9540E-02   5.4300E-01   1.0629E+03   7.7580E+02   3.1780E-05   1.5385E-03
   7.0000E+02   5.2360E-02   5.0430E-01   1.0750E+03   7.8790E+02   3.3320E-05   1.4286E-03
   7.5000E+02   5.5090E-02   4.7060E-01   1.0870E+03   7.9990E+02   3.4820E-05   1.3333E-03
   8.0000E+02   5.7740E-02   4.4120E-01   1.0987E+03   8.1160E+02   3.6240E-05   1.2500E-03
   8.5000E+02   6.0300E-02   4.1530E-01   1.1101E+03   8.2300E+02   3.7630E-05   1.1765E-03
   9.0000E+02   6.2760E-02   3.9220E-01   1.1209E+03   8.3380E+02   3.8970E-05   1.1111E-03
   9.5000E+02   6.5200E-02   3.7160E-01   1.1313E+03   8.4420E+02   4.0260E-05   1.0526E-03
   1.0000E+03   6.7540E-02   3.5300E-01   1.1411E+03   8.5400E+02   4.1530E-05   1.0000E-03
   1.0500E+03   6.9850E-02   3.3620E-01   1.1502E+03   8.6310E+02   4.2760E-05   9.5238E-04
   1.1000E+03   7.2090E-02   3.2090E-01   1.1589E+03   8.7180E+02   4.3960E-05   9.0909E-04
   1.1500E+03   7.4270E-02   3.0690E-01   1.1670E+03   8.7990E+02   4.5110E-05   8.6957E-04
   1.2000E+03   7.6400E-02   2.9410E-01   1.1746E+03   8.8750E+02   4.6260E-05   8.3333E-04
   1.2500E+03   7.8490E-02   2.8240E-01   1.1817E+03   8.9460E+02   4.7360E-05   8.0000E-04
   1.3000E+03   8.0540E-02   2.7150E-01   1.1884E+03   9.0130E+02   4.8460E-05   7.6923E-04
   1.3500E+03   8.2530E-02   2.6150E-01   1.1946E+03   9.0750E+02   4.9520E-05   7.4074E-04
   1.4000E+03   8.4500E-02   2.5210E-01   1.2005E+03   9.1340E+02   5.0570E-05   7.1429E-04
   1.5000E+03   8.8310E-02   2.3530E-01   1.2112E+03   9.2410E+02   5.2640E-05   6.6667E-04
   1.6000E+03   9.1990E-02   2.2060E-01   1.2207E+03   9.3360E+02   5.4570E-05   6.2500E-04
   1.7000E+03   9.5540E-02   2.0760E-01   1.2293E+03   9.4220E+02   5.6460E-05   5.8824E-04
   1.8000E+03   9.8990E-02   1.9610E-01   1.2370E+03   9.4990E+02   5.8290E-05   5.5556E-04
   1.9000E+03   1.0233E-01   1.8580E-01   1.2440E+03   9.5690E+02   6.0080E-05   5.2632E-04
