Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
91.694	100.00	450.59	0.0022193	-1.1051	-1.0805	-10.868	34.700	54.022	1534.2	-0.0059687	199.79	0.21067	liquid
92.694	100.00	449.26	0.0022259	-1.0511	-1.0265	-10.282	34.600	54.079	1525.1	-0.0059412	193.70	0.20948	liquid
93.694	100.00	447.93	0.0022325	-0.99708	-0.97238	-9.7012	34.502	54.140	1516.0	-0.0059126	187.90	0.20827	liquid
94.694	100.00	446.59	0.0022392	-0.94298	-0.91821	-9.1261	34.407	54.205	1506.8	-0.0058828	182.38	0.20704	liquid
95.694	100.00	445.24	0.0022460	-0.88881	-0.86397	-8.5563	34.314	54.273	1497.6	-0.0058519	177.12	0.20581	liquid
96.694	100.00	443.89	0.0022528	-0.83458	-0.80966	-7.9917	34.224	54.344	1488.3	-0.0058200	172.10	0.20455	liquid
97.694	100.00	442.53	0.0022597	-0.78028	-0.75528	-7.4322	34.135	54.418	1478.9	-0.0057869	167.31	0.20328	liquid
98.694	100.00	441.17	0.0022667	-0.72590	-0.70083	-6.8776	34.048	54.495	1469.5	-0.0057528	162.73	0.20200	liquid
99.694	100.00	439.80	0.0022737	-0.67144	-0.64629	-6.3278	33.962	54.575	1460.1	-0.0057175	158.34	0.20071	liquid
100.69	100.00	438.43	0.0022809	-0.61690	-0.59167	-5.7827	33.878	54.657	1450.6	-0.0056811	154.15	0.19941	liquid
101.69	100.00	437.05	0.0022881	-0.56228	-0.53698	-5.2422	33.795	54.743	1441.1	-0.0056436	150.12	0.19810	liquid
102.69	100.00	435.66	0.0022953	-0.50758	-0.48219	-4.7061	33.713	54.830	1431.5	-0.0056049	146.27	0.19677	liquid
103.69	100.00	434.27	0.0023027	-0.45278	-0.42731	-4.1743	33.632	54.920	1421.9	-0.0055650	142.57	0.19544	liquid
104.69	100.00	432.87	0.0023102	-0.39790	-0.37235	-3.6468	33.552	55.013	1412.2	-0.0055238	139.01	0.19409	liquid
105.69	100.00	431.46	0.0023177	-0.34292	-0.31729	-3.1234	33.473	55.108	1402.6	-0.0054814	135.59	0.19274	liquid
106.69	100.00	430.05	0.0023253	-0.28785	-0.26213	-2.6040	33.395	55.206	1392.8	-0.0054376	132.31	0.19139	liquid
107.69	100.00	428.63	0.0023330	-0.23268	-0.20687	-2.0885	33.318	55.307	1383.0	-0.0053925	129.14	0.19002	liquid
108.69	100.00	427.20	0.0023408	-0.17741	-0.15151	-1.5768	33.241	55.411	1373.2	-0.0053460	126.10	0.18865	liquid
109.69	100.00	425.77	0.0023487	-0.12203	-0.096051	-1.0689	33.165	55.517	1363.3	-0.0052981	123.16	0.18727	liquid
110.69	100.00	424.32	0.0023567	-0.066547	-0.040479	-0.56455	33.090	55.627	1353.4	-0.0052486	120.33	0.18588	liquid
111.69	100.00	422.87	0.0023648	-0.010954	0.015204	-0.063781	33.016	55.739	1343.5	-0.0051976	117.59	0.18449	liquid
112.69	100.00	421.41	0.0023730	0.044752	0.071000	0.43354	32.942	55.855	1333.5	-0.0051449	114.95	0.18309	liquid
113.69	100.00	419.94	0.0023813	0.10057	0.12691	0.92751	32.869	55.974	1323.4	-0.0050906	112.40	0.18169	liquid
114.69	100.00	418.46	0.0023897	0.15652	0.18295	1.4182	32.796	56.096	1313.3	-0.0050345	109.94	0.18029	liquid
115.69	100.00	416.97	0.0023982	0.21258	0.23911	1.9057	32.724	56.222	1303.2	-0.0049765	107.55	0.17888	liquid
116.69	100.00	415.48	0.0024069	0.26877	0.29539	2.3902	32.653	56.352	1293.0	-0.0049166	105.24	0.17746	liquid
117.69	100.00	413.97	0.0024156	0.32509	0.35181	2.8716	32.583	56.486	1282.8	-0.0048548	103.01	0.17605	liquid
118.69	100.00	412.45	0.0024245	0.38155	0.40837	3.3501	32.513	56.624	1272.5	-0.0047908	100.84	0.17462	liquid
119.69	100.00	410.93	0.0024335	0.43815	0.46506	3.8257	32.444	56.767	1262.2	-0.0047247	98.740	0.17320	liquid
120.69	100.00	409.39	0.0024427	0.49489	0.52190	4.2986	32.375	56.914	1251.8	-0.0046563	96.702	0.17177	liquid
121.69	100.00	407.84	0.0024520	0.55177	0.57889	4.7689	32.307	57.066	1241.4	-0.0045855	94.724	0.17034	liquid
122.69	100.00	406.28	0.0024614	0.60881	0.63604	5.2365	32.240	57.223	1230.9	-0.0045122	92.803	0.16891	liquid
123.69	100.00	404.70	0.0024709	0.66601	0.69334	5.7017	32.174	57.386	1220.3	-0.0044364	90.936	0.16747	liquid
124.69	100.00	403.12	0.0024807	0.72337	0.75081	6.1644	32.108	57.554	1209.7	-0.0043578	89.122	0.16603	liquid
125.69	100.00	401.52	0.0024905	0.78090	0.80845	6.6248	32.043	57.728	1199.1	-0.0042763	87.357	0.16459	liquid
126.69	100.00	399.91	0.0025006	0.83861	0.86627	7.0830	31.979	57.909	1188.4	-0.0041918	85.639	0.16315	liquid
127.69	100.00	398.29	0.0025108	0.89650	0.92427	7.5390	31.915	58.096	1177.6	-0.0041041	83.967	0.16170	liquid
128.69	100.00	396.65	0.0025211	0.95458	0.98247	7.9929	31.853	58.290	1166.7	-0.0040132	82.338	0.16025	liquid
129.69	100.00	395.00	0.0025317	1.0129	1.0409	8.4449	31.791	58.492	1155.8	-0.0039187	80.750	0.15881	liquid
130.69	100.00	393.33	0.0025424	1.0713	1.0995	8.8950	31.730	58.702	1144.8	-0.0038206	79.201	0.15735	liquid
131.69	100.00	391.64	0.0025533	1.1300	1.1583	9.3433	31.669	58.920	1133.7	-0.0037185	77.690	0.15590	liquid
132.69	100.00	389.94	0.0025645	1.1889	1.2173	9.7898	31.610	59.147	1122.6	-0.0036124	76.216	0.15444	liquid
133.69	100.00	388.22	0.0025758	1.2481	1.2766	10.235	31.552	59.384	1111.4	-0.0035020	74.775	0.15298	liquid
134.69	100.00	386.49	0.0025874	1.3074	1.3361	10.678	31.495	59.630	1100.1	-0.0033870	73.368	0.15152	liquid
135.69	100.00	384.74	0.0025992	1.3671	1.3958	11.120	31.438	59.888	1088.7	-0.0032672	71.992	0.15006	liquid
136.69	100.00	382.96	0.0026112	1.4270	1.4558	11.561	31.383	60.157	1077.2	-0.0031422	70.646	0.14859	liquid
137.69	100.00	381.17	0.0026235	1.4871	1.5161	12.000	31.329	60.438	1065.6	-0.0030118	69.328	0.14713	liquid
138.69	100.00	379.36	0.0026361	1.5476	1.5767	12.439	31.275	60.732	1053.9	-0.0028757	68.038	0.14566	liquid
139.69	100.00	377.52	0.0026489	1.6083	1.6376	12.876	31.224	61.040	1042.1	-0.0027334	66.774	0.14418	liquid
140.69	100.00	375.66	0.0026620	1.6694	1.6988	13.313	31.173	61.363	1030.2	-0.0025846	65.535	0.14270	liquid
141.42	100.00	374.30	0.0026717	1.7137	1.7433	13.628	31.137	61.607	1021.5	-0.0024725	64.653	0.14163	liquid
141.42	100.00	10.890	0.091830	7.8009	8.8167	63.646	27.662	42.432	286.11	0.24218	5.7963	0.016626	vapor
141.69	100.00	10.857	0.092110	7.8096	8.8284	63.729	27.613	42.305	286.59	0.24092	5.8065	0.016644	vapor
142.69	100.00	10.739	0.093116	7.8405	8.8705	64.025	27.454	41.877	288.32	0.23653	5.8433	0.016708	vapor
143.69	100.00	10.626	0.094113	7.8712	8.9122	64.316	27.316	41.496	290.02	0.23236	5.8801	0.016776	vapor
144.69	100.00	10.515	0.095100	7.9016	8.9535	64.602	27.194	41.152	291.68	0.22838	5.9170	0.016848	vapor
145.69	100.00	10.408	0.096080	7.9317	8.9945	64.885	27.087	40.840	293.32	0.22457	5.9538	0.016923	vapor
146.69	100.00	10.304	0.097052	7.9617	9.0352	65.163	26.991	40.554	294.93	0.22092	5.9907	0.017002	vapor
147.69	100.00	10.202	0.098017	7.9914	9.0756	65.438	26.904	40.291	296.52	0.21741	6.0276	0.017082	vapor
148.69	100.00	10.104	0.098975	8.0210	9.1158	65.709	26.825	40.047	298.08	0.21403	6.0645	0.017166	vapor
149.69	100.00	10.007	0.099927	8.0504	9.1557	65.976	26.753	39.820	299.62	0.21076	6.1014	0.017251	vapor
150.69	100.00	9.9134	0.10087	8.0796	9.1954	66.241	26.686	39.608	301.15	0.20760	6.1382	0.017339	vapor
151.69	100.00	9.8218	0.10181	8.1087	9.2349	66.502	26.625	39.409	302.65	0.20454	6.1751	0.017429	vapor
152.69	100.00	9.7324	0.10275	8.1377	9.2742	66.760	26.567	39.222	304.14	0.20157	6.2120	0.017520	vapor
153.69	100.00	9.6450	0.10368	8.1666	9.3134	67.016	26.514	39.044	305.61	0.19869	6.2489	0.017613	vapor
154.69	100.00	9.5597	0.10461	8.1953	9.3523	67.268	26.463	38.877	307.06	0.19589	6.2858	0.017707	vapor
155.69	100.00	9.4762	0.10553	8.2239	9.3911	67.518	26.416	38.718	308.50	0.19316	6.3227	0.017803	vapor
156.69	100.00	9.3946	0.10644	8.2524	9.4298	67.766	26.371	38.566	309.92	0.19051	6.3595	0.017900	vapor
157.69	100.00	9.3147	0.10736	8.2808	9.4683	68.011	26.329	38.422	311.33	0.18793	6.3964	0.017998	vapor
158.69	100.00	9.2365	0.10827	8.3091	9.5066	68.253	26.289	38.285	312.73	0.18541	6.4332	0.018098	vapor
159.69	100.00	9.1600	0.10917	8.3373	9.5448	68.493	26.251	38.154	314.11	0.18296	6.4701	0.018198	vapor
160.69	100.00	9.0850	0.11007	8.3654	9.5829	68.731	26.215	38.028	315.48	0.18056	6.5069	0.018300	vapor
161.69	100.00	9.0114	0.11097	8.3934	9.6209	68.967	26.180	37.909	316.83	0.17822	6.5437	0.018402	vapor
