Temperature (K)	Pressure (psia)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (F/psia)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
92.694	600.00	451.53	0.0022147	-1.0839	-0.93693	-10.640	34.738	53.773	1548.6	-0.0060153	201.75	0.21254	liquid
93.694	600.00	450.23	0.0022211	-1.0305	-0.88314	-10.063	34.642	53.823	1539.9	-0.0059901	195.72	0.21137	liquid
94.694	600.00	448.93	0.0022275	-0.97712	-0.82929	-9.4914	34.548	53.877	1531.1	-0.0059638	189.97	0.21018	liquid
95.694	600.00	447.62	0.0022340	-0.92365	-0.77538	-8.9251	34.456	53.934	1522.2	-0.0059366	184.50	0.20897	liquid
96.694	600.00	446.31	0.0022406	-0.87012	-0.72142	-8.3641	34.366	53.993	1513.3	-0.0059084	179.28	0.20775	liquid
97.694	600.00	444.99	0.0022472	-0.81654	-0.66739	-7.8083	34.278	54.055	1504.3	-0.0058793	174.30	0.20652	liquid
98.694	600.00	443.67	0.0022539	-0.76289	-0.61331	-7.2574	34.192	54.120	1495.4	-0.0058493	169.54	0.20528	liquid
99.694	600.00	442.34	0.0022607	-0.70919	-0.55915	-6.7115	34.107	54.187	1486.3	-0.0058182	164.99	0.20402	liquid
100.69	600.00	441.01	0.0022675	-0.65542	-0.50493	-6.1703	34.023	54.256	1477.3	-0.0057863	160.63	0.20275	liquid
101.69	600.00	439.67	0.0022744	-0.60159	-0.45064	-5.6338	33.941	54.327	1468.2	-0.0057534	156.46	0.20147	liquid
102.69	600.00	438.33	0.0022814	-0.54769	-0.39628	-5.1019	33.860	54.400	1459.0	-0.0057194	152.46	0.20019	liquid
103.69	600.00	436.98	0.0022884	-0.49372	-0.34184	-4.5743	33.780	54.475	1449.8	-0.0056845	148.62	0.19889	liquid
104.69	600.00	435.63	0.0022955	-0.43967	-0.28733	-4.0511	33.701	54.552	1440.6	-0.0056486	144.94	0.19758	liquid
105.69	600.00	434.27	0.0023027	-0.38556	-0.23274	-3.5322	33.623	54.632	1431.4	-0.0056116	141.40	0.19627	liquid
106.69	600.00	432.91	0.0023100	-0.33137	-0.17806	-3.0173	33.545	54.713	1422.1	-0.0055736	138.00	0.19495	liquid
107.69	600.00	431.54	0.0023173	-0.27710	-0.12331	-2.5066	33.469	54.796	1412.8	-0.0055344	134.72	0.19362	liquid
108.69	600.00	430.16	0.0023247	-0.22275	-0.068471	-1.9997	33.393	54.881	1403.4	-0.0054941	131.57	0.19229	liquid
109.69	600.00	428.78	0.0023322	-0.16833	-0.013546	-1.4967	33.318	54.969	1394.1	-0.0054527	128.54	0.19095	liquid
110.69	600.00	427.39	0.0023398	-0.11382	0.041467	-0.99745	33.243	55.058	1384.7	-0.0054100	125.61	0.18960	liquid
111.69	600.00	425.99	0.0023474	-0.059221	0.096571	-0.50188	33.169	55.150	1375.2	-0.0053661	122.79	0.18825	liquid
112.69	600.00	424.59	0.0023552	-0.0045387	0.15177	-0.0098990	33.096	55.244	1365.7	-0.0053209	120.07	0.18690	liquid
113.69	600.00	423.18	0.0023630	0.050233	0.20706	0.47858	33.023	55.341	1356.2	-0.0052744	117.44	0.18554	liquid
114.69	600.00	421.77	0.0023710	0.10510	0.26245	0.96363	32.951	55.440	1346.7	-0.0052265	114.90	0.18417	liquid
115.69	600.00	420.34	0.0023790	0.16005	0.31794	1.4453	32.880	55.541	1337.1	-0.0051771	112.44	0.18280	liquid
116.69	600.00	418.91	0.0023871	0.21511	0.37353	1.9238	32.809	55.645	1327.5	-0.0051263	110.06	0.18143	liquid
117.69	600.00	417.47	0.0023954	0.27026	0.42923	2.3991	32.739	55.752	1317.9	-0.0050739	107.76	0.18006	liquid
118.69	600.00	416.02	0.0024037	0.32551	0.48504	2.8712	32.670	55.862	1308.2	-0.0050199	105.54	0.17868	liquid
119.69	600.00	414.57	0.0024121	0.38087	0.54096	3.3404	32.601	55.975	1298.5	-0.0049643	103.38	0.17731	liquid
